"Unique_Haplogroups"
"C"
"R1b1a1b1a1a"
"Q"
"L1a"
"G2b"
"R1b1"
"CT"
"BT"
"G1"
"Q1b1a"
"C1a"
"E1b1a1a1c1a"
"E1b1b1b2b"
"A00"
"B"
"B2b"
"E1b1b1b1a1"
"I2"
"I2a1b1a2b2"
"I2a1a2"
"P"
"C2"
"DE"
"C2b1a1b1"
"C2b1a1b1b"
"C2e2"
"C2e1b2"
"O2a2b1a1a1a2a"
"O2a2b1a1a"
"O2a2b1a2a1a3b2b1"
"O2a1c"
"O2a"
"O2a2b1a2a1a3b2b"
"O2a2b1a1"
"O2a2b1a2a1c"
"O1b1a2"
"Q1a1a1"
"E1b1a1a1d1a2"
"E"
"Q1b"
"Q1b1a1a1"
"Q1b1a2"
"Q1b1a1a"
"R1b"
"R1b1a1b1a1a2b1"
"R1a"
"Q1b2a"
"I2a2"
"R1b1a1b"
"R1b1a1b1a1a2b1a1"
"R1a1a1b"
"R1b1a1b1a1a2"
"R1b1a1b1a1"
"I2a2a"
"I2a1"
"G2a2b2a"
"I2a1b1a"
"I"
"G2a2"
"H2a1"
"T1a1"
"R1b1a2"
"I1a1b1a1"
"I1a1b1"
"I1"
"I1a2a2a"
"I1a2a"
"G2a"
"J2a1a1a2b2"
"R1b1a1b1a1a1c2b1"
"R1b1a1b1a1a1c2b2a1b1a"
"R1b1a1b1a1a2b1c1"
"R1a1a1b1a1a1c1"
"R1a1a1b1a2b3a"
"I1c"
"I1a1b"
"R1a1a1b1a2b"
"R1b1a1b1a1a2c1a2a1a1a1"
"R1b1a1b1a1a1a"
"R1b1a1b1a1a1c2b1b3b"
"I1a1b1a4a"
"R1a1a"
"I1a"
"R1b1a1b1a1a1"
"R1b1a1b1a1a1c1a2b1"
"R1b1a1b1a1a1c2b1b4"
"I1a2a1a1a1a"
"R1b1a1b1a1a2a1a1a2"
"R1b1a1b1a1a1c2b1a1b2"
"E1b1b1a1b1a"
"I1a2a1a1a"
"R1b1a1b1a1a1c2b1a1a1a"
"F"
"I1a2a2"
"R1b1a1b1a1a2a1b1a"
"R1a1a1b1a3a1"
"G2a2b2a1a1b1a"
"R1b1a1b1a1a2c1"
"I2a1b1a1a1"
"R1b1a1b1a1a2c"
"R1b1a1b1a1a2c1a3b"
"R1b1a1b1a1a2c1a1d"
"R1b1a1b1a"
"R1b1a1b1a1a2c1b1"
"R1b1a1b1a1a2a"
"R1b1a1b1a1a2c1a1b"
"R1b1a1b1a1a2d1"
"R1b1a1b1a1a2c1a1a1a1a"
"R1b1a1b1a1a2a1a2"
"R1b1a1b1a1a1c1"
"R1b1a1"
"R1b1a1b1a1a2c1a5"
"I2a1b1b"
"R1b1a1b1a1a2c1a1a1a1"
"G2a2b2a1a1b"
"R1b1a1b1a1a2c1a1a"
"R1b1a1b1a1a2b1c1b"
"R1b1a1b1a1a2c1a1k"
"J2b1"
"R1b1a1b1a1a1c1a2"
"R1b1a1b1a1a2c1a1i"
"R1b1a1b1a1a2e1"
"R1b1a1b1a1a1c1a1"
"R1b1a1b1a1a2c1a5b1a1a"
"P1"
"R1b1a1b1a1a2c1a4b3a"
"R1b1a1b1a1a2c1a"
"R1b1a1b1a1a2c1a6a1"
"R1b1a1b1a1a2c1a1i3"
"I2a1a1a1a1"
"I2a1a1a1a1a1"
"R1b1a1b1a1a2c1b"
"R1b1a1b1a1a2a2a"
"I2a1b2"
"IJK"
"R1b1a1b1a1a2c1a5c2"
"R1b1a1b1a1a2c1b2a1a1a"
"R1b1a1b1a1a2c1a2a"
"R1b1a1b1a1a2c1a6"
"R1b1a1b1a1a2c1a5b1a1a2"
"G2a2b2a1a1b1a1a2a1a1"
"R1b1a1b1a1a2b1c1a1a1"
"G2a2b2a1a1b1a1a2b"
"R1b1a1b1a1a2c1a6a"
"I2a1b1a1a1b1a"
"R1b1a1b1a1a2c1a5c"
"I2a1b"
"I2a1b1"
"I2a1b1a1a1b"
"I2a2a1"
"I2a2a1a1a"
"I2a2a1a1a2"
"R1b1a1b1a1a1c1a2b"
"R"
"K2b"
"I2a1b1a2b1a2b"
"R1b1a1b1a1a1c2b"
"R1a1a1"
"I1a2a1a1d1a1a"
"I1a1b1a3a"
"R1b1a1b1a1a2a1b1a1a"
"R1b1a1b1a1a1b"
"I1a1b1b"
"Q1b2b1"
"I1a2a1a1d1a"
"R1a1a1b1a2a"
"N1a1a1a1a1a1a"
"R1a1a1b1"
"R1a1a1b1a3a2a1"
"N1a1a1a1a1a"
"N1a1a1a1a1a1a1b"
"I1a2a1a1d"
"R1b1a1b1a1a3b1a"
"R1a1a1b1a3a"
"R1a1a1b1a3a2b1a"
"R1b1a1b1a1a2c1a1a1a1a1a"
"R1a1a1b1a"
"R1a1a1b1a3a2a"
"R1b1a1b1a1a2c1a1f1"
"R1b1a1b1a1a2c1a2"
"I2a1b1a1b"
"R1b1a1a2"
"R1b1a1b1"
"C1a2"
"I2a1a2a"
"H2"
"G2a2a1"
"G2a2a1a"
